,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
28,ASASSN-15oi,['ASASSN-15oi'],309d47m16.44s,-30d45m20.71s,"['2021NatAs...5..491H', '2017ApJ...838..149A', '2016arXiv160201088H', '2016ApJ...818L..21F', '2016A&A...594A..13P', '2015ATel.7910....1B', '2011ApJ...737..103S', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2000A&AS..143....9W', '2016MNRAS.463.3813H', '2024MNRAS.527.2452M', '2020MNRAS.497L...1W', '2023PASP..135c4101G']",2015-08-14 04:48:00.000,0.0484,True,False,/home/nfranz/astro-otter/otterdb/.otter/ASASSN-15oi.json
29,WINGS J1348,"['WINGS J134849.88+263557.5', 'WINGS J1348']",207d12m28.5s,26d35m57.49s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2013MNRAS.435.1904M', '2011ApJ...737..103S', '2017ApJ...835...64G', '2015ApJ...807..185F', '2023PASP..135c4101G']",1999-12-20 00:00:00.000,0.062,True,False,/home/nfranz/astro-otter/otterdb/.otter/WINGS-J1348.json
30,2017eqx,"['PS17dhz', '2017eqx', 'AT2017eqx', 'AT 2017eqx']",336d42m05.55s,17d08m52.4s,"['2019MNRAS.488.1878N', '2016A&A...594A..13P', '2017ApJ...835...64G', '2024MNRAS.527.2452M', '2023PASP..135c4101G', '2017TNSTR.646....1C', '2023arXiv230813595C']",2017-06-01 00:00:00.000,0.1089,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2017eqx.json
31,2022dyt,"['2022dyt', 'ZTF22aacgcwv', 'ATLAS22jju', 'AT2022dyt']",150d02m00.50316s,26d27m38.43828s,"['2022TNSCR1036....1S', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2022TNSTR.572....1M']",59636.23516200232,0.072,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022dyt.json
32,OGLE17aaj,"['OGLE 17aaj', 'OGLE17aaj']",29d06m13.95s,-71d04m15.7s,"['2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017ATel.9977....1G', '2017ATel11049....1S', '2019A&A...622L...2G', '2023PASP..135c4101G']",2016-01-28 00:00:00.000,0.116,False,False,/home/nfranz/astro-otter/otterdb/.otter/OGLE17aaj.json
33,CSS100217,"['CSS 100217', 'CSS100217:102913+404220', 'CSS100217']",157d18m15s,40d42m20s,"['2017arXiv170307816B', '2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...735..106D', '2011BASI...39..387M', '2011ApJ...737..103S', '2010ATel.2544....1D', '2017ApJ...835...64G', '2000A&AS..143....9W', '2017NatAs...1..865K', '2023PASP..135c4101G']",2002-12-31 00:00:00.000,0.147,True,False,/home/nfranz/astro-otter/otterdb/.otter/CSS100217.json
34,2019eve,"['2019eve', 'ATLAS19kfv', 'ZTF19aatylnl', 'Gaia19bti', 'AT2019eve']",172d12m24.9552s,15d40m22.3824s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR.737....1N', '2023arXiv230813595C']",58608.233935185184,0.0813,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019eve.json
35,Sw J1112-82,"['Swift J1112.2-8238', 'Swift J1112-82', 'Sw J1112-82']",167d56m54s,-82d38m44.44s,"['2017MNRAS.472.4469B', '2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150703582B', '2011ApJ...737..103S', '2017ApJ...835...64G', '2011ATel.3463....1K', '2015MNRAS.452.4297B', '2023PASP..135c4101G']",2011-12-27 00:00:00.000,0.89,True,False,/home/nfranz/astro-otter/otterdb/.otter/Sw-J1112-82.json
36,2020zso,"['ZTF20acqoiyt', '2020zso', 'Gaia20fqa', 'ATLAS20bfok', 'AT2020zso']",335d34m16.8888s,-7d15m58.9392s,"['2022A&A...666A...6W', '2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2020TNSTR3449....1F', '2020TNSCR3486....1I']",59165.15005790509,0.0565,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020zso.json
37,XMMSL1 J0740-85,"['XMMSL1 J074008.2-853927', 'XMMSL1 J0740-85']",115d02m02.85s,-85d39m31.25s,"['2017ApJ...838..149A', '2016arXiv161001788S', '2016arXiv161003861A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017A&A...598A..29S', '2023PASP..135c4101G']",2014-04-01 00:00:00.000,0.0173,True,False,/home/nfranz/astro-otter/otterdb/.otter/XMMSL1-J0740-85.json
