mjd,mag,magerr,filter,wavelength
57769.596886,17.92,0.186,o,6866.2638386279095
57773.587171,17.76,0.077,o,6866.2638386279095
57773.6101,17.694,0.075,o,6866.2638386279095
57773.623435,17.674,0.071,o,6866.2638386279095
57773.643773,17.695,0.071,o,6866.2638386279095
57773.652127,17.811,0.089,o,6866.2638386279095
57777.544474,18.076,0.073,c,5408.663570891947
57777.556055,18.181,0.088,c,5408.663570891947
57777.576761,18.285,0.087,c,5408.663570891947
57777.582299,18.177,0.075,c,5408.663570891947
57777.593531,18.296,0.095,c,5408.663570891947
57781.525411,18.331,0.086,c,5408.663570891947
57781.558011,18.373,0.1,c,5408.663570891947
57781.559952,18.12,0.071,c,5408.663570891947
57781.577847,18.303,0.091,c,5408.663570891947
57781.600878,18.293,0.1,c,5408.663570891947
57789.486322,17.779,0.076,o,6866.2638386279095
57789.501047,17.737,0.066,o,6866.2638386279095
57789.502954,17.635,0.058,o,6866.2638386279095
57789.530402,17.802,0.067,o,6866.2638386279095
57789.544565,17.69,0.059,o,6866.2638386279095
57793.440547,17.53,0.128,o,6866.2638386279095
57793.444734,17.835,0.202,o,6866.2638386279095
57793.465527,17.476,0.13,o,6866.2638386279095
57793.466877,18.104,0.227,o,6866.2638386279095
57793.475669,17.823,0.151,o,6866.2638386279095
57793.476803,17.889,0.205,o,6866.2638386279095
57793.481091,17.506,0.134,o,6866.2638386279095
57793.499732,17.886,0.201,o,6866.2638386279095
57793.500256,17.726,0.157,o,6866.2638386279095
57793.500779,18.241,0.325,o,6866.2638386279095
57797.493413,18.074,0.257,o,6866.2638386279095
57797.504676,17.312,0.188,o,6866.2638386279095
57797.505271,17.379,0.177,o,6866.2638386279095
57797.514773,17.856,0.199,o,6866.2638386279095
57797.517707,17.189,0.183,o,6866.2638386279095
57797.518229,17.99,0.416,o,6866.2638386279095
