mjd,mag,magerr,filter,wavelength
56330.45744,17.89,0.11,C,6178.184964660442
56330.46323,18.11,0.12,C,6178.184964660442
56330.46903,18.27,0.12,C,6178.184964660442
56330.47483,18.2,0.12,C,6178.184964660442
56334.5692758262,18.970368826513848,0.013671229990217743,g,4718.872246248685
56334.5808667653,18.960799505180724,0.018426434612749246,g,4718.872246248685
56334.5925582793,18.293945833395117,0.008479286674419903,r,6185.194476741525
56340.41473,18.2,0.12,C,6178.184964660442
56340.42288,18.23,0.12,C,6178.184964660442
56340.43099,18.23,0.12,C,6178.184964660442
56340.43907,18.19,0.12,C,6178.184964660442
56352.46401,17.96,0.11,C,6178.184964660442
56352.46907,18.09,0.12,C,6178.184964660442
56352.47419,18.22,0.12,C,6178.184964660442
56352.47933,18.07,0.12,C,6178.184964660442
56362.42032,18.24,0.12,C,6178.184964660442
56362.42721,18.18,0.12,C,6178.184964660442
56362.43414,18.28,0.12,C,6178.184964660442
56362.44107,18.14,0.12,C,6178.184964660442
56368.22983,18.02,0.11,C,6178.184964660442
56368.24009,18.2,0.12,C,6178.184964660442
56368.25034,18.26,0.13,C,6178.184964660442
56368.26072,17.83,0.11,C,6178.184964660442
56386.24978,18.1,0.12,C,6178.184964660442
56386.25486,18.09,0.12,C,6178.184964660442
56386.25989,18.23,0.12,C,6178.184964660442
56386.26492,18.26,0.12,C,6178.184964660442
56401.15436,18.22,0.12,C,6178.184964660442
56401.15888,18.08,0.12,C,6178.184964660442
56401.16339,18.17,0.12,C,6178.184964660442
56401.16786,18.14,0.12,C,6178.184964660442
56414.19125,18.1,0.12,C,6178.184964660442
56414.19794,17.97,0.11,C,6178.184964660442
56414.2047,18.13,0.12,C,6178.184964660442
56414.21145,18.05,0.12,C,6178.184964660442
56414.38321733,17.763972430343248,0.022738608239716667,z,8961.488333992429
