Source	MJD	Instrument	T _p (K)	R _p (cm)	f _sc	Gamma_sc	Statistics ^a /dof	
	${59373}_{-11}^{+12}$	Swift/XRT	7.9 x 10^5 (fixed)	${2.0}_{-0.2}^{+0.2}\times {10}^{11}$	${0.48}_{-0.15}^{+0.25}$	${2.6}_{-0.2}^{+0.2}$	117.4/126	
	59712	XMM-Newton	7.9 x 10^5 (fixed)	${2.9}_{-0.2}^{+3.3}\times {10}^{11}$	${0.12}_{-0.06}^{+0.07}$	${3.1}_{-0.5}^{+0.8}$	12.2/16	
AT 2021ehb	${59407}_{-10}^{+10}$	Swift/XRT	${1.3}_{-0.1}^{+0.2}\times {10}^{6}$	${2.5}_{-0.3}^{+0.6}\times {10}^{10}$	${0.04}_{-0.01}^{+0.04}$	${1.4}_{-0.4}^{+1.3}$	78.8/98	
	59430	XMM-Newton	${6.0}_{-0.2}^{+0.2}\times {10}^{5}$	${1.4}_{-0.1}^{+0.2}\times {10}^{12}$	${0.06}_{-0.01}^{+0.02}$	${4.4}_{-0.2}^{+0.2}$	48.7/45	
	${59441}_{-16}^{+15}$	Swift/XRT	${6.4}_{-0.6}^{+1.1}\times {10}^{5}$	${3.8}_{-1.3}^{+1.8}\times {10}^{11}$	${0.21}_{-0.12}^{+0.10}$	${4.1}_{-0.5}^{+0.3}$	153.2/156	
	${59475}_{-12}^{+12}$	Swift/XRT	${9.3}_{-0.5}^{+0.5}\times {10}^{5}$	${1.5}_{-0.2}^{+0.2}\times {10}^{11}$	${0.13}_{-0.02}^{+0.03}$	${2.7}_{-0.2}^{+0.2}$	262.8/250	
	${59509}_{-16}^{+12}$	Swift/XRT	${1.2}_{-0.1}^{+0.1}\times {10}^{6}$	${7.6}_{-1.0}^{+1.4}\times {10}^{10}$	${0.20}_{-0.03}^{+0.04}$	${2.2}_{-0.1}^{+0.1}$	285.4/306	
	${59539}_{-10}^{+10}$	Swift/XRT	${1.5}_{-0.1}^{+0.1}\times {10}^{6}$	${4.0}_{-0.6}^{+0.8}\times {10}^{10}$	${0.27}_{-0.04}^{+0.04}$	${1.9}_{-0.2}^{+0.1}$	285.4/359	
	${59565}_{-9}^{+8}$	Swift/XRT	${1.0}_{-0.1}^{+0.1}\times {10}^{6}$	${1.3}_{-0.3}^{+0.7}\times {10}^{11}$	${0.59}_{-0.05}^{+0.04}$	${2.0}_{-0.1}^{+0.1}$	401.2/467	
	${59585}_{-7}^{+7}$	Swift/XRT	${1.3}_{-0.2}^{+0.2}\times {10}^{6}$	${9.7}_{-2.5}^{+4.1}\times {10}^{10}$	${0.59}_{-0.06}^{+0.07}$	${1.9}_{-0.1}^{+0.1}$	455.9/476	
	59604	XMM-Newton	${1.2}_{-0.1}^{+0.1}\times {10}^{6}$	${8.6}_{-0.6}^{+0.7}\times {10}^{10}$	${0.13}_{-0.02}^{+0.02}$	${2.8}_{-0.1}^{+0.1}$	77.6/79	
	${59640}_{-7}^{+7}$	Swift/XRT	${1.1}_{-0.1}^{+0.1}\times {10}^{6}$	${5.6}_{-0.9}^{+1.5}\times {10}^{10}$	${0.20}_{-0.04}^{+0.05}$	${2.3}_{-0.2}^{+0.2}$	183.5/214	
	${59661}_{-7}^{+7}$	Swift/XRT	${3.9}_{-1.2}^{+1.3}\times {10}^{5}$	${8.3}_{-5.1}^{+22.9}\times {10}^{11}$	${0.31}_{-0.09}^{+0.15}$	${3.5}_{-0.3}^{+0.3}$	66.5/85	
	59825	XMM-Newton	${1.6}_{-0.1}^{+0.2}\times {10}^{6}$	${2.8}_{-0.5}^{+0.6}\times {10}^{10}$	${0.22}_{-0.04}^{+0.04}$	${2.2}_{-0.1}^{+0.1}$	77.2/71	
AT 2021yzv	59654	XMM-Newton	${1.0}_{-0.3}^{+0.6}\times {10}^{6}$	${1.5}_{-0.9}^{+13.2}\times {10}^{11}$	cdots	cdots	2.9/3	
ASASSN-14li	56997	XMM-Newton	${4.1}_{-0.1}^{+0.1}\times {10}^{5}$	${3.7}_{-0.1}^{+0.1}\times {10}^{12}$	cdots	cdots	66.3/31	
	57023	XMM-Newton	${4.0}_{-0.1}^{+0.1}\times {10}^{5}$	${3.8}_{-0.1}^{+0.1}\times {10}^{12}$	cdots	cdots	98.9/25	
	57213	XMM-Newton	${3.3}_{-0.1}^{+0.1}\times {10}^{5}$	${4.2}_{-0.1}^{+0.1}\times {10}^{12}$	cdots	cdots	21.6/19	
