name,band,mjd,flux,flux_lowerr,flux_uperr
WTP18aamced,0.3-10 keV,59019.59492564,3.3545050000000004e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,59078.4309033472,2.99705e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,59138.2865876898,4.12195e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,59143.1025000104,4.1664000000000005e-12,-1.0,-1.0
WTP18aamced,0.3-10 keV,59198.3248096921,4.59725e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,59202.1117014873,6.14985e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,59258.359803191,3.6756999999999997e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,59917.6221137535,3.6771e-13,-1.0,-1.0
WTP18aamced,0.3-10 keV,58342.1565682037,3.01863555e-13,7.9240665e-14,9.54681e-14
WTP18aamced,0.3-10 keV,58350.5991081875,6.2439335e-13,1.0055629500000001e-13,1.0055629500000001e-13
WTP18aamced,0.3-10 keV,58352.6926551701,4.2497630000000006e-13,9.536064999999999e-14,9.536064999999999e-14
WTP18aamced,0.3-10 keV,58357.1044581146,5.7179885e-13,9.5291805e-14,9.5291805e-14
WTP18aamced,0.3-10 keV,58362.1897767072,8.617815500000001e-13,1.2483443e-13,1.2483443e-13
WTP18aamced,0.3-10 keV,58379.2539972766,6.964870500000001e-13,1.09106935e-13,1.09106935e-13
WTP18aamced,0.3-10 keV,58384.1752015625,9.756467000000001e-13,1.2394161500000002e-13,1.2394161500000002e-13
WTP18aamced,0.3-10 keV,58389.8087518657,7.9915815e-13,1.43051615e-13,1.43051615e-13
WTP18aamced,0.3-10 keV,58394.5965940093,1.38006575e-12,1.4806365e-13,1.4806365e-13
WTP18aamced,0.3-10 keV,58399.5344837338,1.2563901000000001e-12,1.5695617e-13,1.5695617e-13
WTP18aamced,0.3-10 keV,58404.0627633194,1.3097504000000002e-12,1.8782305500000001e-13,1.8782305500000001e-13
WTP18aamced,0.3-10 keV,58445.6630791956,1.0745360500000001e-12,1.31675145e-13,1.31675145e-13
