name,band,time,flux,flux_err
WTP14abnpgk,W1,55259.49558647499,0.1377532800424862,-99.0
WTP14abnpgk,W1,55439.328591515005,0.1271800135199547,-99.0
WTP14abnpgk,W1,56721.974989565,0.14168807920018672,-99.0
WTP14abnpgk,W1,56902.575442065,1.1708542602539065,0.013882967154877076
WTP14abnpgk,W1,57084.02009802,2.0027638857421874,0.04034762123751404
WTP14abnpgk,W1,57262.948721505,3.0059927373046875,0.09061036139602828
WTP14abnpgk,W1,57449.605971494995,4.814745662109376,0.23210812279283688
WTP14abnpgk,W1,57621.766968115,8.610746689453125,0.7416912667696286
WTP14abnpgk,W1,57815.224758825,5.8867010625,0.3467901901539461
WTP14abnpgk,W1,57982.347557135,7.198123617187501,0.5183383760205362
WTP14abnpgk,W1,58179.483773995,3.5289489843750004,0.12480084065981813
WTP14abnpgk,W1,58342.658501455,3.9857617294921877,0.15912928274352586
WTP14abnpgk,W1,58546.583477965,3.002001688476563,0.09044897106579732
WTP14abnpgk,W1,58709.82898374,3.7135761826171874,0.13825825571697226
WTP14abnpgk,W1,58910.87407576,1.632376388671875,0.026919383414385507
WTP14abnpgk,W1,59074.001870715,2.8935122109374998,0.08406378460929056
WTP14abnpgk,W1,59276.54022509,1.019958908203125,0.010703836858168921
WTP14abnpgk,W1,59438.14656034,4.836253450195312,0.23420275309593871
WTP14abnpgk,W1,59641.97343103,2.5258269550781254,0.06409758997985493
WTP14abnpgk,W1,59805.284798584995,5.569013455078125,0.3104741215688809
WTP14abnpgk,W2,55257.51071099,0.2007131528733826,-99.0
WTP14abnpgk,W2,55439.328591515005,0.1919509615364838,-99.0
WTP14abnpgk,W2,56722.040823229996,0.2695160004882813,0.0011072328177047864
WTP14abnpgk,W2,56902.575442065,0.998038818359375,0.010403453537532347
WTP14abnpgk,W2,57084.02009802,3.8323131875,0.14755494919193332
WTP14abnpgk,W2,57262.94878519,3.3755221718750006,0.11459403762660246
WTP14abnpgk,W2,57449.605971494995,6.916942375,0.47898559394790036
WTP14abnpgk,W2,57621.766968115,9.99293528125,0.9991565930489593
WTP14abnpgk,W2,57815.224758825,9.265843578125,0.859069110728242
WTP14abnpgk,W2,57982.347557135,9.362578125,0.8771843131050824
WTP14abnpgk,W2,58179.483773995,6.588856406250001,0.4347382667855202
WTP14abnpgk,W2,58342.658501455,5.364646742187501,0.2884241820752017
WTP14abnpgk,W2,58546.583477965,5.161596375,0.26700438482529004
WTP14abnpgk,W2,58709.82898374,5.164246250000001,0.26769847546066555
WTP14abnpgk,W2,58910.808433055,3.9054477890625003,0.15319114429223665
WTP14abnpgk,W2,59074.001934395,3.6632375234375,0.13496485649505754
WTP14abnpgk,W2,59274.97097424,2.4750045820312505,0.061980283208435336
WTP14abnpgk,W2,59438.14656034,5.7455874375,0.3309652093286286
WTP14abnpgk,W2,59641.97343103,5.209549437500001,0.2720845711220226
WTP14abnpgk,W2,59805.349931815,6.437284765625002,0.4151856383724328
WTP14acnjbu,W1,55268.8828013,0.055408430195896634,-99.0
WTP14acnjbu,W1,55450.745962985005,0.050149432441113,-99.0
WTP14acnjbu,W1,56730.98859854,0.06884408189153196,-99.0
WTP14acnjbu,W1,56913.173145975,0.3290833780517578,0.0011270530246872959
WTP14acnjbu,W1,57094.388208749995,0.4134535045166016,0.001759646287381713
WTP14acnjbu,W1,57272.009081715005,0.43158137878417974,0.0019158512339029472
WTP14acnjbu,W1,57459.95380196,0.07590892751491785,-99.0
WTP14acnjbu,W1,57630.94651103,0.08125307351301672,-99.0
WTP14acnjbu,W1,57827.626631005,0.16672894281005862,0.00034347230638625225
WTP14acnjbu,W1,57992.994464405,0.8568511911621094,0.007405571494727658
WTP14acnjbu,W1,58191.257125265,1.1092201516113283,0.012367960143949613
WTP14acnjbu,W1,58354.968113235,1.809757929199219,0.032821230430290775
WTP14acnjbu,W1,58555.473153015,1.0133994477539063,0.010346957054819016
WTP14acnjbu,W1,58719.12612511,1.2043378352050782,0.014574882486659835
WTP14acnjbu,W1,58921.33030982,0.7559192380371095,0.005779313393644843
WTP14acnjbu,W1,59085.126155535,0.8581003176269532,0.007436175423808035
WTP14acnjbu,W1,59286.665314219994,0.4696695516357422,0.002279668144987374
WTP14acnjbu,W1,59450.310242825,0.6711465666503906,0.004574664981485234
WTP14acnjbu,W1,59650.912250990004,0.21289200384521487,0.0005125895502934354
WTP14acnjbu,W1,59814.489274285006,0.1648656071777344,0.0003566283700656667
WTP14acnjbu,W2,55268.8828013,0.11291114477867127,-99.0
WTP14acnjbu,W2,55450.745962985005,0.10256460309658053,-99.0
WTP14acnjbu,W2,56730.98859854,0.22145403125000002,0.0006188825094444979
WTP14acnjbu,W2,56913.173145975,0.403688283203125,0.001775105781490607
WTP14acnjbu,W2,57094.388208749995,0.8917186308593752,0.008115221724880476
WTP14acnjbu,W2,57272.009081715005,0.7033940000000001,0.005194713276355406
WTP14acnjbu,W2,57459.95380196,0.16119873803710938,0.0004702245369707659
WTP14acnjbu,W2,57630.94651103,0.15681392431640626,0.000481136224587859
WTP14acnjbu,W2,57827.626631005,0.74710299609375,0.005835824009314698
WTP14acnjbu,W2,57992.994464405,1.52917792578125,0.023650377146378194
WTP14acnjbu,W2,58191.257125265,2.7674506054687504,0.07684366537049864
WTP14acnjbu,W2,58354.968113235,3.4972891015624996,0.12258346206261701
WTP14acnjbu,W2,58555.473153015,2.68642012890625,0.07245280669733363
WTP14acnjbu,W2,58719.126188790004,2.2183679843750004,0.04948374939711668
WTP14acnjbu,W2,58921.330246159996,1.8960463671875,0.036177168389121994
