name,band,year_1,year_2,year_3,year_4,year_5,flux_1,flux_2,flux_3,flux_4,flux_5,flux_err_1,flux_err_2,flux_err_3,flux_err_4,flux_err_5
WTP14abnpgk,0.2-2.3 keV,2020.2003653106658,2020.701159589405,2021.1896128868595,2021.6884688292744,nan,8.394101498150985e-14,7.940444861240998e-14,1.4617920023254063e-13,8.659501040948179e-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
WTP15acbuuv,0.2-2.3 keV,2020.3968298737605,2020.9059355077413,2021.4044238330796,2021.9117282787925,nan,1.0542178319593056e-13,8.838108117641406e-14,1.3702539273970088e-13,9.212577082631352e-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
WTP16aaqrcr,0.2-2.3 keV,2020.263709965088,2020.7747681706637,2021.255414478691,2021.7619367072552,nan,1.0563153337602791e-13,7.373548121383882e-14,1.1223701618720616e-13,8.071002291974517e-14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
WTP17aaldjb,0.2-2.3 keV,2019.9788102486048,2020.479749196772,2020.983307876695,2021.4875703957382,2021.9947920154743,6.502740316395961e-14,1.1514031471817658e-13,9.492466117636365e-14,1.0793509280076875e-13,9.378324091945675e-14,-1.0,-1.0,-1.0,-1.0,-1.0
WTP17aalzpx,0.2-2.3 keV,2020.109491847551,2020.610794658217,2021.0802825976662,2021.596714643582,2022.097291634957,6.346543153780123e-14,6.76717713583371e-14,8.035281857992544e-14,8.247896338497778e-14,6.474849944153957e-14,-1.0,-1.0,-1.0,-1.0,-1.0
WTP15abymdq,0.2-2.3 keV,2019.9963139269407,2020.4909819305303,2020.997121028132,2021.4997472729578,2022.009099410198,1.9318269586007103e-13,4.0868900603140135e-13,3.8165052173265435e-13,9.182050600539324e-14,8.064991003590288e-14,2.3125801946154156e-14,3.586681055238114e-14,3.6842968590246675e-14,1.8617563952083235e-14,1.6603483927904276e-14
WTP17aamoxe,0.2-2.3 keV,2020.3110678190144,2020.8193959661505,2021.3161435819381,2021.824951357179,nan,1.5517062190283787e-13,6.23856164210651e-13,8.608290810859995e-14,1.720697587475225e-13,-1.0,4.0473809199970123e-14,8.329150086652803e-14,2.854922515841546e-14,-1.0,-1.0
WTP17aamzew,0.2-2.3 keV,2020.345876783546,2020.851071455677,2021.3533310502282,2021.856257166413,nan,5.512640176156061e-14,8.451843147875768e-14,1.9223719315920033e-13,7.386002616807663e-14,-1.0,3.5829148079414425e-14,3.450614360217541e-14,-1.0,3.176072008474404e-14,-1.0
