MJD dt_d Filter Magnitude Magnitude_Error
57309.48 61.48 uvw2 17.815 0.049
57312.20 64.20 uvw2 17.933 0.052
57318.77 70.77 uvw2 18.168 0.053
57324.08 76.08 uvw2 18.254 0.064
57328.14 80.14 uvw2 18.342 0.058
57333.48 85.48 uvw2 18.548 0.066
57336.41 88.41 uvw2 18.545 0.062
57339.43 91.43 uvw2 18.606 0.066
57342.10 94.10 uvw2 18.603 0.077
57345.79 97.79 uvw2 18.652 0.083
57348.41 100.41 uvw2 18.782 0.066
57468.80 220.80 uvw2 20.830 0.191
57476.65 228.65 uvw2 20.702 0.165
57493.43 245.43 uvw2 20.916 0.207 
57501.27 253.27 uvw2 21.062 0.175 
57506.29 258.29 uvw2 21.073 0.199 
57515.12 267.12 uvw2 21.112 0.243 
57521.44 273.44 uvw2 21.178 0.215 
57530.88 282.88 uvw2 21.300 0.218 
57585.00 337 uvw2 21.259 0.105 
57839.52 591.52 uvw2 21.406 0.137 
58674.29 1426.29 uvw2 21.521 0.102
59016.54 1768.54 uvw2 21.468 0.246
59649.93 2401.93 uvw2 21.464 0.197
59828.39 2580.39 uvw2 21.289 0.215
