name,classification_flag,ra,ra_unit,dec,dec_unit,coord_bibcode,ra_err,dec_err,redshift,redshift_ref,discovery_date,discovery_date_ref,discovery_date_format,host_ra,host_ra_unit,host_dec,host_dec_unit,host_name,host_redshift,host_ref
iPTF16fnl,3.3,00:29:57.04,hour,+32:53:37.5,degree,2017ApJ...844...46B,,,,,,,,,,,,,,
AT2019dsg,3.3,20:57:02.974 ,hour,+14:12:15.86,degree, 2019TNSTR.615....1N,,,,,,,,,,,,,,
ASASSN-14ae,3.3,11:08:39.96,hour,+34:05:52.7,degree,2014ATel.5831....1P,,,,,2013-01-25,2014ATel.5831....1P,iso,,,,,,,
PS16dtm,3.3,01:58:04.739,hour,-00:52:21.74,degree,2016TNSTR.562....1C,,,0.0804,2017ApJ...843..106B,2016-08-12,2016TNSTR.562....1C,iso,,,,,,,
AT2018zr,3.3,07:56:54.537,hour,+34:15:43.61,degree,2018TNSTR.296....1C,,,0.071,2018ASPC..517..737V,,,,,,,,,,
AT2020neh,3.3,15:21:20.090,hour,+14:04:10.52,degree,2020TNSTR1886....1N,,,,,,,,,,,,,,
AT2018dyb,3.3,16:10:58.774,hour,-60:55:23.16,degree,2018TNSTR.982....1B,,,,,,,,,,,,,,
AT2018hco,3.3,01:07:33.635,hour,+23:28:34.28,degree,2018TNSTR1509....1T,,,,,,,,,,,,,,
AT2019ehz,3.3,14:09:41.880,hour,+55:29:28.10,degree,2019TNSTR.673....1D,,,,,,,,,,,,,,
AT2019eve,3.3,11:28:49.650,hour,+15:40:22.3,degree,2019TNSTR.737....1N,,,,,,,,,,,,,,
AT2019teq,3.3,18:59:05.498,hour,+47:31:05.66,degree,2019TNSTR2172....1N,,,,,,,,,,,,,,
DES14C1kia,0,03:34:47.49,hour,-26:19:35.0,degree,2015ATel.6877....1F,,,,,,,,,,,,,,
iPTF15af,3.3,08:48:28.12,hour,+22:03:33.575,degree,2019ApJ...873...92B,,,,,,,,,,,,,,
