name,classification_flag,ra,ra_unit,dec,dec_unit,coord_bibcode,ra_err,dec_err,redshift,redshift_err,redshift_ref,discovery_date,discovery_date_ref,discovery_date_format,host_ra,host_ra_unit,host_dec,host_dec_unit,host_name,host_redshift,host_ref
AT2022cmc,3.3,13:34:43.207,hour,+33:13:00.54,degree,2022TNSTR.397....1A,,,,,,2459621.946,2022TNSTR.397....1A,jd,,,,,,,
2021qxv,3.3,229.747063,deg,-3.195855,degree,2023ApJS..266....9A,,,0.183,0.005,2023ApJS..266....9A,,,,229.7471752,deg,-3.1959615,deg,WISEA J151859.45-031145.6,,2023ApJS..266....9A
2021ehb,3.3,46.949208,deg,40.311269,degree,2023ApJS..266....9A,,,0.0173,0.005,2023ApJS..266....9A,,,,46.9492743,deg,40.3113631,deg,WISEA J030747.82+401840.9,,2023ApJS..266....9A
2020opy,3.3,239.107211,deg,23.372504,degree,2023ApJS..266....9A,,,0.159,0.005,2023ApJS..266....9A,,,,239.1071988,deg,23.3724006,deg,WISEA J155625.72+232220.8,,2023ApJS..266....9A
2020nov,3.3,254.554085,deg,2.117537,degree,2023ApJS..266....9A,,,0.084,0.005,2023ApJS..266....9A,,,,254.5540719,deg,2.1175345,deg,WISEA J165812.98+020703.0,,2023ApJS..266....9A
2020neh,3.3,230.333667,deg,14.069628,degree,2023ApJS..266....9A,,,0.062,0.005,2023ApJS..266....9A,,,,230.3337202,deg,14.0695869,deg,WISEA J152120.08+140410.6,0.062,2023ApJS..266....9A
GNTJ145301.70+422127.82,1,14:53:01.700,hour,+42:21:27.70,degree,2016TNSTR.481....1D,,,,,,2457477.111,2016TNSTR.481....1D,jd,,,,,SDSSJ145301.70+422127.82,,2018MNRAS.481..307K
SwJ1644+57,3.3,16:44:49.93130,hour,+57:34:59.6893,degree,2011Natur.476..425Z,,,,,,,,,,,,,,,
